ID_field,ID,FieldN,FieldN_2,Day_swab,Treatment,TotalInitialDoseZoosporesPermL,StrainSpecificInitialDoseZoosporesPermL,Lineage_type,Lineage,Strains,StrainID,Mortality_percentage,Cleared_percentage,Total_Bd_quantity,Number_of_lineages,DNA,VICqtyGPL,VICqtyHyb,FAMqtyBZ,GPL_pg,Brazil_pg,Hybrid,TotalBd,Susceptible,Infected,Dead
87M,87,M,S2,31,Single,2980000,2980000,Panzootic,GPL,168,P1,93.75,12.5,8349.758,1,Mtr,0.071391047,0.034267282,0,71.391,0,0,71.391,0,1,1
96#,96,#,S1,21,Single,2980000,2980000,Panzootic,GPL,168,P1,93.75,12.5,8349.758,1,Mtr,0.08969551,0.042674155,0,89.696,0,0,89.696,0,1,0
96M,96,M,S2,31,Single,2980000,2980000,Panzootic,GPL,168,P1,93.75,12.5,8349.758,1,Mtr,0.158648702,0.073829923,0,158.649,0,0,158.649,0,1,1
101#,101,#,S1,21,Single,2980000,2980000,Panzootic,GPL,168,P1,93.75,12.5,8349.758,1,Mtr,0.753435707,0.330080574,0,753.436,0,0,753.436,0,1,0
101M,101,M,S2,25,Single,2980000,2980000,Panzootic,GPL,168,P1,93.75,12.5,8349.758,1,Mtr,1.414096222,0.604582811,0,1414.096,0,0,1414.096,0,1,1
141#,141,#,S1,21,Single,2980000,2980000,Panzootic,GPL,168,P1,93.75,12.5,8349.758,1,Mtr,0.450120179,0.201174286,0,450.12,0,0,450.12,0,1,0
141M,141,M,S2,32,Single,2980000,2980000,Panzootic,GPL,168,P1,93.75,12.5,8349.758,1,Mtr,0.211805242,0.097469517,0,211.805,0,0,211.805,0,1,1
184#,184,#,S1,21,Single,2980000,2980000,Panzootic,GPL,168,P1,93.75,12.5,8349.758,1,Mtr,0.174934794,0.08110121,0,174.935,0,0,174.935,0,1,0
184M,184,M,S2,31,Single,2980000,2980000,Panzootic,GPL,168,P1,93.75,12.5,8349.758,1,Mtr,0.377517482,0.169879751,0,377.517,0,0,377.517,0,1,1
190#,190,#,S1,21,Single,2980000,2980000,Panzootic,GPL,168,P1,93.75,12.5,8349.758,1,Mtr,0.069328507,0.033315104,0,69.329,0,0,69.329,0,1,0
190M,190,M,S2,31,Single,2980000,2980000,Panzootic,GPL,168,P1,93.75,12.5,8349.758,1,Mtr,0.118336167,0.055699034,0,118.336,0,0,118.336,0,1,1
201#,201,#,S1,21,Single,2980000,2980000,Panzootic,GPL,168,P1,93.75,12.5,8349.758,1,Mtr,0.056941148,0.027572018,0,56.941,0,0,56.941,0,1,0
201M,201,M,S2,44,Single,2980000,2980000,Panzootic,GPL,168,P1,93.75,12.5,8349.758,1,Mtr,0.074913562,0.035891013,0,74.914,0,0,74.914,0,1,1
239#,239,#,S1,21,Single,2980000,2980000,Panzootic,GPL,168,P1,93.75,12.5,8349.758,1,Mtr,0.26407611,0.120489381,0,264.076,0,0,264.076,0,1,0
239M,239,M,S2,30,Single,2980000,2980000,Panzootic,GPL,168,P1,93.75,12.5,8349.758,1,Mtr,0.09584491,0.0454828,0,95.845,0,0,95.845,0,1,1
249#,249,#,S1,21,Single,2980000,2980000,Panzootic,GPL,168,P1,93.75,12.5,8349.758,1,Mtr,0.081515548,0.038926395,0,81.516,0,0,81.516,0,1,0
249M,249,M,S2,32,Single,2980000,2980000,Panzootic,GPL,168,P1,93.75,12.5,8349.758,1,Mtr,0.9269983,0.402868648,0,926.998,0,0,926.998,0,1,1
273#,273,#,S1,21,Single,2980000,2980000,Panzootic,GPL,168,P1,93.75,12.5,8349.758,1,Mtr,0.040929906,0.020074282,0,40.93,0,0,40.93,0,1,0
273M,273,M,S2,43,Single,2980000,2980000,Panzootic,GPL,168,P1,93.75,12.5,8349.758,1,Mtr,0,0,0,0,0,0,0,1,0,1
307#,307,#,S1,21,Single,2980000,2980000,Panzootic,GPL,168,P1,93.75,12.5,8349.758,1,Mtr,0.160206632,0.074526703,0,160.207,0,0,160.207,0,1,0
307M,307,M,S2,34,Single,2980000,2980000,Panzootic,GPL,168,P1,93.75,12.5,8349.758,1,Mtr,0.091913779,0.04368815,0,91.914,0,0,91.914,0,1,1
332#,332,#,S1,21,Single,2980000,2980000,Panzootic,GPL,168,P1,93.75,12.5,8349.758,1,Mtr,0.140014936,0.065474652,0,140.015,0,0,140.015,0,1,0
332M,332,M,S2,30,Single,2980000,2980000,Panzootic,GPL,168,P1,93.75,12.5,8349.758,1,Mtr,0.916703077,0.398566869,0,916.703,0,0,916.703,0,1,1
350#,350,#,S1,21,Single,2980000,2980000,Panzootic,GPL,168,P1,93.75,12.5,8349.758,1,Mtr,0.039942093,0.019608361,0,39.942,0,0,39.942,0,1,0
350F,350,F,S2,76,Single,2980000,2980000,Panzootic,GPL,168,P1,93.75,12.5,8349.758,1,Mtr,4.30E-06,3.01E-06,8.84E-06,0,0,0,0,1,0,0
5#,5,#,S1,21,Single,2980000,2980000,Enzootic,Brazil,172,E2,87.5,0,2461.334,1,Mtr,0,0,0.043596957,0,43.597,0,43.597,0,1,0
5M,5,M,S2,40,Single,2980000,2980000,Enzootic,Brazil,172,E2,87.5,0,2461.334,1,Mtr,0,0,0.142977926,0,142.978,0,142.978,0,1,1
14#,14,#,S1,21,Single,2980000,2980000,Enzootic,Brazil,172,E2,87.5,0,2461.334,1,Mtr,0,0,0.003394757,0,3.395,0,3.395,0,1,0
14M,14,M,S2,43,Single,2980000,2980000,Enzootic,Brazil,172,E2,87.5,0,2461.334,1,Mtr,0,0,0.100822936,0,100.823,0,100.823,0,1,1
22#,22,#,S1,21,Single,2980000,2980000,Enzootic,Brazil,172,E2,87.5,0,2461.334,1,Mtr,0,0,0.001806575,0,1.807,0,1.807,0,1,0
22M,22,M,S2,48,Single,2980000,2980000,Enzootic,Brazil,172,E2,87.5,0,2461.334,1,Mtr,0,0,0.091465158,0,91.465,0,91.465,0,1,1
44#,44,#,S1,21,Single,2980000,2980000,Enzootic,Brazil,172,E2,87.5,0,2461.334,1,Mtr,0,0,0.02104747,0,21.047,0,21.047,0,1,0
44M,44,M,S2,35,Single,2980000,2980000,Enzootic,Brazil,172,E2,87.5,0,2461.334,1,Mtr,0,0,0.116802582,0,116.803,0,116.803,0,1,1
46#,46,#,S1,21,Single,2980000,2980000,Enzootic,Brazil,172,E2,87.5,0,2461.334,1,Mtr,0,0,0.005035767,0,5.036,0,5.036,0,1,0
46M,46,M,S2,42,Single,2980000,2980000,Enzootic,Brazil,172,E2,87.5,0,2461.334,1,Mtr,0,0,0.051224298,0,51.224,0,51.224,0,1,1
86#,86,#,S1,21,Single,2980000,2980000,Enzootic,Brazil,172,E2,87.5,0,2461.334,1,Mtr,0,0,0.005211285,0,5.211,0,5.211,0,1,0
86M,86,M,S2,34,Single,2980000,2980000,Enzootic,Brazil,172,E2,87.5,0,2461.334,1,Mtr,0,0,0.552048067,0,552.048,0,552.048,0,1,1
97#,97,#,S1,21,Single,2980000,2980000,Enzootic,Brazil,172,E2,87.5,0,2461.334,1,Mtr,0,0,0.010494158,0,10.494,0,10.494,0,1,0
